Abuan,English
asiya,relations
ena,fish
iri,thread
okoro,shoe
ukuoro,pineapple
alagba,flag
enhun,bird
itaya,hunting
olhom,paddle
ukio,bitterleaf
iikpelhem,sand
okoony,hunger
eleke,knife
ukuru,okra
gbol,give way
ongoom,giver
oghiigh,to kill
kpere,shorten
oopho,zero
nmariir,women
olhem,creation
enhighe,beauty
unwanyu,moon
onyanhi,girl
emha,town
bon,be punctual
beenye,ferry over
buanham,take away
buemhi,dissolve
diinye,immerse
dimhe,extinguish
digh,enter
due,fill up
aguugh,pot
odo,mortar
akuruma,bucket
ikasi,stool
egunhum,basket
otozi,lantern
eku amoobogh,ladle
akube,axe
amogo,cup
ozany,broom
elhool,knife
esua,hoe
ogbogh agbagba,basin
agbagba ekpereghi,cover plate
eleke,kitchen knife
idaabilhi,table
aguugh igari,garri pot
emhinha,bed
meera,stand
enhaan,God
eenhaan,star
onhiin,mother
oonhiigh,catarrh
elu,bile
enu,harmful object
anian,fire
anhian,who
omhugh,debt
omhugh,to die
olhom,paddle
olhom,to bite
obio,courage
obiom,sinker
ekpom,heart
okpom,whole
asuo,profit
asuor,songs
tootoghion,extricate
tuutughian,meditate
aralha,sleep
aralhaany,teeth
adiigbu,limit
agiigu,fear
edu,odor
edum,bush
olhem,creation
olheem,mustache
enum,little
enhuum,fats
adol,mode of life
adom,message
ode,enjoyment
ode,father
eghurughan,crowdedness
oghurughan,suffocate
eepoogh,chance
epogh,a hole
eela,wealth
eelar,throat
amunhum,oil
amunhum,urine
oogho,medicine
oogho,shadow
osuma,to abscond
osuma,to be awake
amayagh,latex
amaghan,black dust under an alter
oobia,baby nurse
oobian,pepper
eghelhe,egg
erelhe,a journey
ola,branch
oola,mangrove swamp
oniin,one
iniin,some
aruwol,feet
arughol,fire place
iisua,eaves
esua,hoe
 ode,father
onhiin,mother
anhir-,wife